Request id,Pickup point,Driver ID,Status,Pickup Date,Pickup Time,Drop Date,Drop Time,Day Of Week,Hour_of_Pickup,Time_slots,Ride_Sucess,Car_Avaibility
49,Airport,0,No Cars Available,07-11-2016,3:29:00 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
50,City,100,Trip Completed,07-11-2016,3:21:59 AM,07-11-2016,3:56:59 AM,Monday,3,Late Night,Full_Filled,Availaible
51,City,86,Trip Completed,07-11-2016,3:33:59 AM,07-11-2016,4:32:59 AM,Monday,3,Late Night,Full_Filled,Availaible
52,City,0,No Cars Available,07-11-2016,3:30:00 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
53,Airport,95,Trip Completed,07-11-2016,3:30:00 AM,07-11-2016,4:21:59 AM,Monday,3,Late Night,Full_Filled,Availaible
54,City,0,No Cars Available,07-11-2016,3:33:59 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
55,Airport,0,No Cars Available,07-11-2016,3:40:59 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
56,City,0,No Cars Available,07-11-2016,3:58:00 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
57,City,0,No Cars Available,07-11-2016,3:52:00 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
58,Airport,0,No Cars Available,07-11-2016,4:02:59 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
59,City,0,No Cars Available,07-11-2016,3:58:00 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
60,City,141,Trip Completed,07-11-2016,3:56:59 AM,07-11-2016,4:45:59 AM,Monday,3,Late Night,Full_Filled,Availaible
61,Airport,0,No Cars Available,07-11-2016,4:05:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
62,Airport,0,No Cars Available,07-11-2016,4:09:59 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
63,Airport,0,No Cars Available,07-11-2016,4:16:59 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
64,City,52,Trip Completed,07-11-2016,4:15:59 AM,07-11-2016,5:28:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
65,Airport,0,No Cars Available,07-11-2016,4:22:59 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
66,City,255,Trip Completed,07-11-2016,4:21:00 AM,07-11-2016,4:54:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
67,Airport,0,No Cars Available,07-11-2016,4:24:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
68,Airport,0,No Cars Available,07-11-2016,4:27:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
69,Airport,0,No Cars Available,07-11-2016,4:27:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
70,City,80,Trip Completed,07-11-2016,4:34:00 AM,07-11-2016,5:29:59 AM,Monday,4,Early Morning,Full_Filled,Availaible
71,City,0,No Cars Available,07-11-2016,4:37:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
72,City,0,No Cars Available,07-11-2016,4:35:59 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
73,Airport,0,No Cars Available,07-11-2016,4:35:59 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
74,Airport,239,Trip Completed,07-11-2016,4:38:00 AM,07-11-2016,5:44:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
75,Airport,0,No Cars Available,07-11-2016,4:40:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
76,City,158,Cancelled,07-11-2016,4:44:59 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
77,City,171,Cancelled,07-11-2016,4:45:59 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
78,City,0,No Cars Available,07-11-2016,4:44:59 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
79,City,0,No Cars Available,07-11-2016,4:43:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
80,City,3,Cancelled,07-11-2016,4:47:00 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
81,Airport,73,Trip Completed,07-11-2016,4:47:00 AM,07-11-2016,6:00:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
82,Airport,290,Trip Completed,07-11-2016,4:47:00 AM,07-11-2016,5:23:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
83,City,0,No Cars Available,07-11-2016,4:44:00 AM,NA,NA,Monday,4,Early Morning,Not Availaible,No Car Availaible
84,City,28,Trip Completed,07-11-2016,4:50:00 AM,07-11-2016,5:26:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
85,City,144,Cancelled,07-11-2016,4:47:00 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
86,City,174,Cancelled,07-11-2016,4:50:59 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
87,City,213,Trip Completed,07-11-2016,4:45:59 AM,07-11-2016,5:26:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
88,Airport,76,Trip Completed,07-11-2016,4:54:00 AM,07-11-2016,6:07:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
89,City,280,Trip Completed,07-11-2016,4:51:59 AM,07-11-2016,5:51:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
90,Airport,126,Trip Completed,07-11-2016,4:53:00 AM,07-11-2016,5:33:59 AM,Monday,4,Early Morning,Full_Filled,Availaible
91,Airport,234,Trip Completed,07-11-2016,4:48:59 AM,07-11-2016,5:39:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
92,City,16,Cancelled,07-11-2016,4:53:00 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
93,City,69,Trip Completed,07-11-2016,4:53:00 AM,07-11-2016,5:29:59 AM,Monday,4,Early Morning,Full_Filled,Availaible
94,City,265,Trip Completed,07-11-2016,4:59:00 AM,07-11-2016,5:58:00 AM,Monday,4,Early Morning,Full_Filled,Availaible
95,Airport,270,Trip Completed,07-11-2016,4:54:00 AM,07-11-2016,6:02:59 AM,Monday,4,Early Morning,Full_Filled,Availaible
96,City,21,Cancelled,07-11-2016,4:57:59 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
97,City,138,Trip Completed,07-11-2016,5:00:59 AM,07-11-2016,5:39:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
98,City,205,Cancelled,07-11-2016,4:57:59 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
99,City,70,Cancelled,07-11-2016,5:00:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
100,City,256,Trip Completed,07-11-2016,5:00:00 AM,07-11-2016,5:46:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
101,Airport,99,Trip Completed,07-11-2016,5:07:59 AM,07-11-2016,6:08:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
102,Airport,100,Trip Completed,07-11-2016,5:00:59 AM,07-11-2016,5:38:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
103,City,0,No Cars Available,07-11-2016,5:01:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
104,City,0,No Cars Available,07-11-2016,5:00:00 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
105,City,182,Cancelled,07-11-2016,4:57:59 AM,NA,NA,Monday,4,Early Morning,Cancelled,Availaible
106,City,194,Trip Completed,07-11-2016,5:06:00 AM,07-11-2016,5:38:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
107,City,215,Cancelled,07-11-2016,5:01:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
108,City,248,Cancelled,07-11-2016,5:09:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
109,City,284,Cancelled,07-11-2016,5:00:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
110,City,22,Trip Completed,07-11-2016,5:04:59 AM,07-11-2016,6:05:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
111,City,62,Cancelled,07-11-2016,5:06:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
112,Airport,116,Trip Completed,07-11-2016,5:00:59 AM,07-11-2016,6:04:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
113,City,185,Cancelled,07-11-2016,5:09:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
114,City,217,Trip Completed,07-11-2016,5:10:00 AM,07-11-2016,5:39:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
115,City,244,Cancelled,07-11-2016,5:13:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
116,Airport,286,Trip Completed,07-11-2016,5:06:59 AM,07-11-2016,5:52:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
117,City,0,No Cars Available,07-11-2016,5:13:00 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
118,Airport,44,Trip Completed,07-11-2016,5:10:59 AM,07-11-2016,5:51:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
119,City,204,Cancelled,07-11-2016,5:10:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
120,City,268,Cancelled,07-11-2016,5:03:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
121,Airport,63,Trip Completed,07-11-2016,5:13:00 AM,07-11-2016,6:08:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
122,City,124,Cancelled,07-11-2016,5:13:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
123,City,130,Trip Completed,07-11-2016,5:12:00 AM,07-11-2016,6:14:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
124,City,0,No Cars Available,07-11-2016,5:12:00 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
125,City,38,Trip Completed,07-11-2016,5:12:00 AM,07-11-2016,6:17:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
126,City,40,Cancelled,07-11-2016,5:04:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
127,City,173,Cancelled,07-11-2016,5:10:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
128,City,43,Trip Completed,07-11-2016,5:12:00 AM,07-11-2016,5:48:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
129,City,189,Cancelled,07-11-2016,5:10:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
130,City,206,Cancelled,07-11-2016,5:12:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
131,City,0,No Cars Available,07-11-2016,5:10:00 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
132,City,21,Cancelled,07-11-2016,5:15:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
133,City,247,Cancelled,07-11-2016,5:13:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
134,Airport,121,Trip Completed,07-11-2016,5:13:00 AM,07-11-2016,6:14:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
135,City,0,No Cars Available,07-11-2016,5:19:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
136,City,0,No Cars Available,07-11-2016,5:19:00 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
137,City,0,No Cars Available,07-11-2016,5:16:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
138,City,0,No Cars Available,07-11-2016,5:19:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
139,Airport,14,Trip Completed,07-11-2016,5:20:59 AM,07-11-2016,6:08:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
140,City,279,Cancelled,07-11-2016,5:16:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
141,City,49,Cancelled,07-11-2016,5:19:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
142,City,134,Trip Completed,07-11-2016,5:25:00 AM,07-11-2016,6:18:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
143,Airport,157,Trip Completed,07-11-2016,5:23:59 AM,07-11-2016,6:01:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
144,City,291,Cancelled,07-11-2016,5:23:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
145,City,33,Trip Completed,07-11-2016,5:32:00 AM,07-11-2016,6:36:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
146,Airport,191,Trip Completed,07-11-2016,5:29:00 AM,07-11-2016,6:08:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
147,City,267,Cancelled,07-11-2016,5:26:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
148,Airport,105,Trip Completed,07-11-2016,5:35:59 AM,07-11-2016,6:46:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
149,City,111,Cancelled,07-11-2016,5:29:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
150,City,9,Cancelled,07-11-2016,5:23:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
151,City,290,Cancelled,07-11-2016,5:26:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
152,City,294,Trip Completed,07-11-2016,5:29:00 AM,07-11-2016,6:15:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
153,City,0,No Cars Available,07-11-2016,5:32:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
154,City,0,No Cars Available,07-11-2016,5:30:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
155,City,13,Trip Completed,07-11-2016,5:32:00 AM,07-11-2016,6:27:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
156,Airport,96,Trip Completed,07-11-2016,5:35:00 AM,07-11-2016,6:40:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
157,City,226,Cancelled,07-11-2016,5:38:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
158,City,289,Trip Completed,07-11-2016,5:35:00 AM,07-11-2016,6:40:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
159,City,0,No Cars Available,07-11-2016,5:42:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
160,Airport,72,Trip Completed,07-11-2016,5:38:00 AM,07-11-2016,6:33:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
161,Airport,107,Trip Completed,07-11-2016,5:35:59 AM,07-11-2016,6:10:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
162,City,70,Cancelled,07-11-2016,5:33:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
163,City,161,Trip Completed,07-11-2016,5:35:00 AM,07-11-2016,6:49:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
164,City,137,Cancelled,07-11-2016,5:39:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
165,Airport,199,Trip Completed,07-11-2016,5:39:00 AM,07-11-2016,6:11:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
166,City,269,Cancelled,07-11-2016,5:41:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
167,City,0,No Cars Available,07-11-2016,5:39:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
168,City,62,Cancelled,07-11-2016,5:36:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
169,City,184,Trip Completed,07-11-2016,5:45:00 AM,07-11-2016,6:47:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
170,City,113,Trip Completed,07-11-2016,5:45:00 AM,07-11-2016,6:39:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
171,City,0,No Cars Available,07-11-2016,5:39:00 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
172,Airport,59,Trip Completed,07-11-2016,5:41:00 AM,07-11-2016,6:18:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
173,City,188,Trip Completed,07-11-2016,5:45:00 AM,07-11-2016,6:30:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
174,Airport,119,Cancelled,07-11-2016,5:44:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
175,City,160,Cancelled,07-11-2016,5:45:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
176,City,67,Cancelled,07-11-2016,5:42:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
177,City,169,Cancelled,07-11-2016,5:48:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
178,City,0,No Cars Available,07-11-2016,5:46:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
179,City,0,No Cars Available,07-11-2016,5:48:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
180,Airport,112,Trip Completed,07-11-2016,5:48:00 AM,07-11-2016,6:27:59 AM,Monday,5,Early Morning,Full_Filled,Availaible
181,City,159,Cancelled,07-11-2016,5:45:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
182,Airport,225,Trip Completed,07-11-2016,5:45:59 AM,07-11-2016,6:58:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
183,City,252,Trip Completed,07-11-2016,5:48:59 AM,07-11-2016,6:29:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
184,City,292,Cancelled,07-11-2016,5:48:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
185,City,236,Cancelled,07-11-2016,5:42:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
186,City,288,Cancelled,07-11-2016,5:48:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
187,City,62,Cancelled,07-11-2016,5:57:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
188,City,114,Cancelled,07-11-2016,5:54:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
189,City,0,No Cars Available,07-11-2016,5:58:00 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
190,City,0,No Cars Available,07-11-2016,5:52:59 AM,NA,NA,Monday,5,Early Morning,Not Availaible,No Car Availaible
191,Airport,37,Trip Completed,07-11-2016,5:55:00 AM,07-11-2016,6:45:00 AM,Monday,5,Early Morning,Full_Filled,Availaible
192,City,202,Cancelled,07-11-2016,5:55:59 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
193,City,213,Cancelled,07-11-2016,5:58:00 AM,NA,NA,Monday,5,Early Morning,Cancelled,Availaible
194,City,0,No Cars Available,07-11-2016,6:04:59 AM,NA,NA,Monday,6,Early Morning,Not Availaible,No Car Availaible
195,City,297,Trip Completed,07-11-2016,6:04:59 AM,07-11-2016,6:52:00 AM,Monday,6,Early Morning,Full_Filled,Availaible
196,Airport,24,Cancelled,07-11-2016,6:07:00 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
197,City,202,Trip Completed,07-11-2016,6:00:00 AM,07-11-2016,6:49:00 AM,Monday,6,Early Morning,Full_Filled,Availaible
198,Airport,249,Trip Completed,07-11-2016,6:02:59 AM,07-11-2016,6:43:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
199,City,0,No Cars Available,07-11-2016,6:07:00 AM,NA,NA,Monday,6,Early Morning,Not Availaible,No Car Availaible
200,City,36,Cancelled,07-11-2016,6:10:00 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
201,City,76,Trip Completed,07-11-2016,6:08:59 AM,07-11-2016,7:19:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
202,City,94,Cancelled,07-11-2016,6:08:59 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
203,City,0,No Cars Available,07-11-2016,6:07:00 AM,NA,NA,Monday,6,Early Morning,Not Availaible,No Car Availaible
204,City,27,Trip Completed,07-11-2016,6:04:00 AM,07-11-2016,6:43:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
205,Airport,230,Trip Completed,07-11-2016,6:10:00 AM,07-11-2016,7:09:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
206,City,232,Trip Completed,07-11-2016,6:07:00 AM,07-11-2016,6:36:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
207,City,0,No Cars Available,07-11-2016,6:05:59 AM,NA,NA,Monday,6,Early Morning,Not Availaible,No Car Availaible
208,Airport,0,No Cars Available,07-11-2016,6:04:59 AM,NA,NA,Monday,6,Early Morning,Not Availaible,No Car Availaible
209,City,50,Cancelled,07-11-2016,6:11:00 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
210,City,79,Cancelled,07-11-2016,6:11:59 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
211,City,100,Trip Completed,07-11-2016,6:08:00 AM,07-11-2016,6:46:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
212,City,106,Cancelled,07-11-2016,6:08:59 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
213,City,116,Trip Completed,07-11-2016,6:14:59 AM,07-11-2016,6:56:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
214,City,215,Trip Completed,07-11-2016,6:13:00 AM,07-11-2016,6:53:00 AM,Monday,6,Early Morning,Full_Filled,Availaible
215,City,14,Trip Completed,07-11-2016,6:14:59 AM,07-11-2016,7:06:59 AM,Monday,6,Early Morning,Full_Filled,Availaible
216,City,54,Cancelled,07-11-2016,6:13:00 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
217,City,183,Cancelled,07-11-2016,6:11:59 AM,NA,NA,Monday,6,Early Morning,Cancelled,Availaible
